WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
12;61;01;1;0950463;02715;ul.;Chęcińska;;2021-11-27
12;61;01;1;0950463;02722;ul.;Chlebiczna;;2021-11-27
12;61;01;1;0950463;02724;ul.;Chlebowa;;2021-11-27
12;61;01;1;0950463;02739;ul.;Chłodna;;2021-11-27
12;61;01;1;0950463;29527;ul.;Chłopickiego;gen.;2021-11-27
12;61;01;1;0950463;02750;ul.;Chłopska;;2021-11-27
12;61;01;1;0950463;02752;ul.;Chmiela;Adama;2021-11-27
12;61;01;1;0950463;33056;ul.;Chmieleniec;;2021-11-27
12;61;01;1;0950463;02768;ul.;Chmielna;;2021-11-27
12;61;01;1;0950463;02775;ul.;Chmielowskiego;Adama;2021-11-27
12;61;01;1;0950463;02776;ul.;Chmurna;;2021-11-27
12;61;01;1;0950463;02782;ul.;Chochołowska;;2021-11-27
12;61;01;1;0950463;02790;ul.;Chocimska;;2021-11-27
12;61;01;1;0950463;26983;ul.;Chodkiewicza;Karola;2021-11-27
12;61;01;1;0950463;02808;ul.;Chodowieckiego;Daniela;2021-11-27
12;61;01;1;0950463;54340;ul.;Chojnackiego;Księdza Adolfa;2021-11-27
12;61;01;1;0950463;02826;ul.;Chojnicka;;2021-11-27
12;61;01;1;0950463;02849;ul.;Chopina;Fryderyka;2021-11-27
12;61;01;1;0950463;02863;ul.;Chorzowska;;2021-11-27
12;61;01;1;0950463;02912;ul.;Chrzanowskiego;Ignacego;2021-11-27
12;61;01;1;0950463;02947;ul.;Chwistka;Leona;2021-11-27
12;61;01;1;0950463;49117;ul.;Chylińskiego;prof. Zygmunta;2021-11-27
12;61;01;1;0950463;02964;ul.;Ciasna;;2021-11-27
12;61;01;1;0950463;02974;ul.;Cicha;;2021-11-27
12;61;01;1;0950463;31112;ul.;Cichociemnych AK;;2021-11-27
12;61;01;1;0950463;02985;ul.;Cichy Kącik;;2021-11-27
12;61;01;1;0950463;02994;ul.;Ciechanowska;;2021-11-27
12;61;01;1;0950463;02995;ul.;Ciechanowskiego;Stanisława;2021-11-27
12;61;01;1;0950463;02997;ul.;Ciechocińska;;2021-11-27
12;61;01;1;0950463;28288;ul.;Ciekowiec;;2021-11-27
12;61;01;1;0950463;03015;ul.;Ciemna;;2021-11-27
12;61;01;1;0950463;03018;ul.;Cienista;;2021-11-27
12;61;01;1;0950463;03029;ul.;Cieplińskiego;Łukasza;2021-11-27
12;61;01;1;0950463;03032;ul.;Ciepła;;2021-11-27
12;61;01;1;0950463;03034;ul.;Ciepłownicza;;2021-11-27
12;61;01;1;0950463;03048;ul.;Ciesielska;;2021-11-27
12;61;01;1;0950463;03061;ul.;Cieszyńska;;2021-11-27
12;61;01;1;0950463;37656;ul.;Cieślewskiego;Ernesta;2021-11-27
12;61;01;1;0950463;39224;ul.;Cieślińskiej-Brzeskiej;Haliny;2021-11-27
12;61;01;1;0950463;03084;ul.;Ciołkosza;Adama;2021-11-27
12;61;01;1;0950463;03089;ul.;Ciołkowskiego;Konstantego;2021-11-27
12;61;01;1;0950463;03098;ul.;Cisowa;;2021-11-27
12;61;01;1;0950463;03122;ul.;Combrowa;;2021-11-27
12;61;01;1;0950463;03124;ul.;Conrada;Josepha;2021-11-27
12;61;01;1;0950463;03143;ul.;Cuplowa;;2021-11-27
12;61;01;1;0950463;03157;ul.;Cybulskiego;Napoleona;2021-11-27
